CODEREG,NOM_REGION,CODEDIST,NOM_DISTRI,CODECOM,NOM_COMMUN,ETAT_COMMU,SOURCE,HECTARES,MIS_A_JOUR
"11",ANALAMANGA,"1113",MANJAKANDRIANA,"111321",Nandihizana Carion,,commune,3522.475,"2004"
"11",ANALAMANGA,"1113",MANJAKANDRIANA,"111317",Manjakandriana,,terrain,7580.991,"2002"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110520",Fenoarivo,,terrain,1683.104,"2003"
"13",ITASY,"1302",MIARINARIVO,"130210",Miarinarivo Sub-urbaine,,commune,20447.305,"2001"
"11",ANALAMANGA,"1107",ANTANANARIVO I,"110701",ANTANANARIVO I,,INSTAT,901.261,"2006"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110522",Itaosy,,commune,501.639,"2005"
"13",ITASY,"1302",MIARINARIVO,"130212",Soamahamanina,,terrain,18154.659,"2001"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110506",Ambohidrapeto,,commune,293.774,"2005"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110518",Bemasoandro,,terrain,252.036,"2005"
"13",ITASY,"1301",ARIVONIMAMO,"130103",Ambatomirahavavy,,terrain,6589.377,"2002"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110512",Andranonahoatra,,terrain,11.272,"2005"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110512",Andranonahoatra,,terrain,378.454,"2005"
"11",ANALAMANGA,"1108",ANTANANARIVO II,"110801",ANTANANARIVO II,,INSTAT,1420.122,"2006"
"11",ANALAMANGA,"1110",ANTANANARIVO IV,"111001",ANTANANARIVO IV,,INSTAT,1271.110,"2006"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110505",Ambavahaditokana,,terrain,646.189,"2005"
"11",ANALAMANGA,"1106",ANTANANARIVO-AVARADRANO,"110606",Anjeva Gara,,,3063.637,"2000"
"11",ANALAMANGA,"1106",ANTANANARIVO-AVARADRANO,"110603",Ambohimanambola,,,1935.375,"2000"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110522",Itaosy,,commune,71.158,"2005"
"11",ANALAMANGA,"1113",MANJAKANDRIANA,"111301",Alarobia Ambatomanga,,terrain,7132.317,"2002"
"13",ITASY,"1301",ARIVONIMAMO,"130114",Arivonimamo II,,terrain,11491.023,"2002"
"13",ITASY,"1301",ARIVONIMAMO,"130115",Imerintsiatosika,,terrain,17284.374,"2002"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110501",Alakamisy Fenoarivo,nouvelle,commune,1392.841,"2005"
"11",ANALAMANGA,"1106",ANTANANARIVO-AVARADRANO,"110601",Alasora,,,2139.304,"2000"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110516",Anosizato Andrefana,,commune,156.846,"2005"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110510",Ampitatafika,,terrain,2069.928,"2003"
"13",ITASY,"1302",MIARINARIVO,"130209",Miarinarivo Urbaine,,terrain,1504.466,"2003"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110524",Soavina,,commune,486.667,"2005"
"12",BONGOLAVA,"1202",TSIROANOMANDIDY,"120202",Ambararatabe,,,13961.854,"2000"
"12",BONGOLAVA,"1202",TSIROANOMANDIDY,"120213",Maritampona,nouvelle,commune,19194.712,"2005"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110525",Tanjombato,,terrain,485.726,"2003"
"11",ANALAMANGA,"1106",ANTANANARIVO-AVARADRANO,"110611",Masindray,,,4885.118,"2000"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110509",Ampanefy,,,914.034,"2003"
"11",ANALAMANGA,"1113",MANJAKANDRIANA,"111304",Ambatomanga,,,2448.614,"2000"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110515",Ankaraobato,,,288.573,"2000"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110507",Ambohijanaka,,,2431.717,"2000"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110502",Alatsinainy Ambazaha,,,728.460,"2000"
"11",ANALAMANGA,"1113",MANJAKANDRIANA,"111318",Mantasoa,,,10627.142,"2000"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110511",Andoharanofotsy,,terrain,1052.244,"2003"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110513",Androhibe,,,3264.941,"2000"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110523",Soalandy,,terrain,1408.886,"2003"
"13",ITASY,"1301",ARIVONIMAMO,"130113",Arivonimamo I,,terrain,4543.833,"2002"
"12",BONGOLAVA,"1202",TSIROANOMANDIDY,"120211",Mahasolo,,terrain,44222.024,"2002"
"13",ITASY,"1302",MIARINARIVO,"130207",Manazary,,terrain,12869.650,"2001"
"11",ANALAMANGA,"1106",ANTANANARIVO-AVARADRANO,"110608",Ankadinandriana,,terrain,13596.753,"2003"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110519",Bongatsara,,,2126.490,"2000"
"13",ITASY,"1303",SOAVINANDRIANA,"130306",Ampefy,,terrain,7296.832,"2001"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110508",Ampahitrosy,nouvelle,commune,1500.888,"2006"
"13",ITASY,"1303",SOAVINANDRIANA,"130307",Ankaranana,,terrain,4442.907,"2001"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110526",Tsiafahy,,,5874.538,"2000"
"13",ITASY,"1301",ARIVONIMAMO,"130121",Morafeno,,terrain,9307.450,"2000"
"11",ANALAMANGA,"1113",MANJAKANDRIANA,"111320",Miadanandriana,,terrain,9181.699,"2002"
"13",ITASY,"1302",MIARINARIVO,"130208",Mandiavato,,terrain,25685.992,"2001"
"13",ITASY,"1301",ARIVONIMAMO,"130105",Ambohimandry-Est,,terrain,19343.588,"2000"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110517",Antanetikely,,terrain,4862.727,"2003"
"13",ITASY,"1302",MIARINARIVO,"130206",Antoby Est,nouvelle,commune,8837.276,"2006"
"13",ITASY,"1301",ARIVONIMAMO,"130114",Arivonimamo II,,terrain,1034.034,"2002"
"13",ITASY,"1301",ARIVONIMAMO,"130109",Ampahimanga,,,10760.684,"2000"
"13",ITASY,"1303",SOAVINANDRIANA,"130305",Ampary,,,4039.541,"2000"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110504",Ambatofahavalo,,,3069.252,"2000"
"11",ANALAMANGA,"1105",ANTANANARIVO-ATSIMONDRANO,"110503",Ambalavao,,terrain,4494.848,"2003"
"11",ANALAMANGA,"1113",MANJAKANDRIANA,"111308",Ambohitrandriamanitra,,terrain,8615.342,"2002"
"13",ITASY,"1303",SOAVINANDRIANA,"130312",Mananasy,,terrain,15759.290,"2001"
"13",ITASY,"1303",SOAVINANDRIANA,"130311",Mahavelona,,,14171.732,"2000"
"13",ITASY,"1303",SOAVINANDRIANA,"130314",Soavinandriana,,terrain,19869.323,"2001"
"11",ANALAMANGA,"1113",MANJAKANDRIANA,"111319",Merikanjaka,,terrain,8414.541,"2001"
"13",ITASY,"1303",SOAVINANDRIANA,"130309",Antanetibe,,,3383.441,"2000"
"13",ITASY,"1303",SOAVINANDRIANA,"130301",Ambatoasana Afovoany,,terrain,12216.484,"2001"
"13",ITASY,"1301",ARIVONIMAMO,"130107",Ambohipandrano,,terrain,8450.661,"2002"
"11",ANALAMANGA,"1102",ANDRAMASINA,"110211",Sabotsy Manjakavahoaka,,,5252.935,"2000"
"14",VAKINANKARATRA,"1401",AMBATOLAMPY,"140112",Behenjy,,,15720.566,"2000"
"13",ITASY,"1301",ARIVONIMAMO,"130104",Amboanana,,terrain,13904.438,"2002"
"11",ANALAMANGA,"1102",ANDRAMASINA,"110209",Mandrosoa,,,5684.771,"2000"
"13",ITASY,"1303",SOAVINANDRIANA,"130310",Talata Dodona,,,6442.807,"2000"
"13",ITASY,"1301",ARIVONIMAMO,"130120",Miantsoarivo,,terrain,14173.328,"2002"
"11",ANALAMANGA,"1102",ANDRAMASINA,"110205",Andramasina,,terrain,394.119,"2005"
"13",ITASY,"1303",SOAVINANDRIANA,"130308",Ankisabe,,,28799.485,"2000"
"11",ANALAMANGA,"1102",ANDRAMASINA,"110205",Andramasina,,terrain,1530.615,"2005"
"11",ANALAMANGA,"1102",ANDRAMASINA,"110206",Anosibe Trimoloharano,,terrain,7052.489,"2002"
"12",BONGOLAVA,"1202",TSIROANOMANDIDY,"120212",Maroharona,,,51190.474,"2000"
"11",ANALAMANGA,"1102",ANDRAMASINA,"110205",Andramasina,,terrain,1341.670,"2005"
"11",ANALAMANGA,"1102",ANDRAMASINA,"110205",Andramasina,,terrain,644.491,"2005"
"11",ANALAMANGA,"1102",ANDRAMASINA,"110205",Andramasina,,terrain,2232.713,"2005"
"13",ITASY,"1301",ARIVONIMAMO,"130112",Antenimbe,,commune,4449.637,"2004"
"11",ANALAMANGA,"1102",ANDRAMASINA,"110205",Andramasina,,terrain,1049.639,"2005"
"11",ANALAMANGA,"1102",ANDRAMASINA,"110205",Andramasina,,terrain,1033.070,"2005"
"13",ITASY,"1301",ARIVONIMAMO,"130101",Alakamisikely Ambohidehibe,,commune,3513.515,"2004"
"11",ANALAMANGA,"1102",ANDRAMASINA,"110210",Sabotsy Ambohitromby,,commune,8920.048,"2004"
"14",VAKINANKARATRA,"1406",FARATSIHO,"140602",Andranomiady,,commune,10539.499,"2004"
"11",ANALAMANGA,"1102",ANDRAMASINA,"110203",Ambohimiadana,,terrain,18257.126,"2002"
"11",ANALAMANGA,"1102",ANDRAMASINA,"110201",Alarobia Vatosola,,terrain,7374.074,"2002"
"11",ANALAMANGA,"1102",ANDRAMASINA,"110205",Andramasina,,terrain,689.022,"2005"
